epoch;acc;loss;val_acc;val_loss
0;0.4925;0.6939751102924346;0.499749;0.692856912612915
1;0.538875;0.6868990963697433;0.59613454;0.6676073179244996
2;0.6384375;0.6386972727179527;0.64457834;0.6665066978931427
3;0.72;0.5524227811098099;0.7798695;0.4725682032108307
4;0.7751875;0.47915572753548624;0.7863956;0.4714745761156082
5;0.80575;0.4212589849233627;0.814759;0.5015867545604705
6;0.8261875;0.3866489842683077;0.8436245;0.36891311579942704
7;0.83675;0.36924410501122473;0.8386044;0.37957918441295624
8;0.8500625;0.3480409640520811;0.8476406;0.34930701822042465
9;0.8606875;0.3199678761661053;0.8637048;0.35257307708263397
10;0.8681875;0.3086001904308796;0.84789157;0.3764703732728958
11;0.87325;0.30048161125183104;0.79492974;0.45246855211257936
12;0.878;0.2925486791357398;0.8629518;0.4657885691225529
13;0.872375;0.3018488753810525;0.8242972;0.43500558787584304
14;0.8769375;0.2955408540926874;0.8697289;0.37102846544981005
15;0.881625;0.2851256689950824;0.8687249;0.4982180949449539
16;0.88675;0.27530428535863755;0.872992;0.3643705736398697
17;0.885875;0.2813128217086196;0.8609438;0.437841787815094
18;0.88725;0.2741699331626296;0.8501506;0.38342175386846067
19;0.8854375;0.28301926571875813;0.8581827;0.45394972050189974
20;0.892125;0.27577189657837153;0.8358434;0.5014701454788446
21;0.884625;0.2882191415205598;0.84161645;0.511026815533638
22;0.8895;0.27856633650138973;0.87776107;0.33069930398464203
23;0.888;0.27932830663025376;0.8586847;0.36786491787433623
24;0.9001875;0.2576690278351307;0.87876505;0.4851933391429484
