epoch;accuracy;loss;val_accuracy;val_loss
0;0.680875;0.6028213781118393;0.7296914458274841;0.6699460744857788
1;0.7435;0.5242102996110917;0.7457493543624878;0.35749465227127075
2;0.76659375;0.4889060306251049;0.7696788311004639;0.46407467126846313
3;0.7840625;0.4631293014585972;0.7251259684562683;0.5930429697036743
4;0.7975938;0.4409546157717705;0.7621221542358398;1.0471657514572144
5;0.81225;0.4189437472373247;0.7720959782600403;0.39352500438690186
6;0.8240625;0.39912014742195606;0.7662153840065002;0.468978613615036
7;0.8279375;0.3854198830425739;0.7665302157402039;0.38074585795402527
8;0.8410938;0.3715484939441085;0.7490554451942444;0.48833778500556946
9;0.8485;0.35737003371119497;0.7643262147903442;0.8496623039245605
10;0.85371876;0.3436367414519191;0.7766057848930359;0.5367342233657837
11;0.857625;0.33401583338528873;0.7654671669006348;0.37127918004989624
12;0.86625;0.325109644420445;0.7690491080284119;0.6332905292510986
13;0.86575;0.3230706560537219;0.7739294767379761;0.7072851061820984
14;0.87171876;0.31096594589203597;0.7603904008865356;0.8501377701759338
15;0.88053125;0.29781445196270945;0.7693639993667603;0.8872754573822021
16;0.880875;0.29710967490822077;0.7649559378623962;0.37422674894332886
17;0.8844375;0.2894529039114714;0.7616792917251587;0.8830513954162598
18;0.8857812;0.28519821651279925;0.7739294767379761;1.0008726119995117
19;0.885625;0.28551347203925254;0.7758186459541321;1.0906140804290771
20;0.8893125;0.2784653670154512;0.761335015296936;1.0391569137573242
21;0.89225;0.2751195735633373;0.7545654773712158;1.6402370929718018
22;0.8924375;0.26920295487903056;0.7744633555412292;1.2522270679473877
23;0.89746875;0.26734246319532395;0.7657430768013;0.6014392375946045
24;0.9012188;0.2594637561030686;0.7529911994934082;0.9334427714347839
